source_id,source_name,release_id,landing_url,download_url,accessed_at,downloaded_at,original_filename,local_path,file_size,sha256,citation,license_or_terms_reference,species,genome_build,assay,endpoint,value_unit,log_transform,upstream_processing,schema_version,acquisition_status,previous_local_path,provenance_note
CCLE,CCLE,,,,,,CCLE_DNA_methylation_TSS1kb.txt,data/raw/CCLE/legacy_unverified/CCLE_DNA_methylation_TSS1kb.txt,149292202,7fa14da9dcfacd2ce7d3b179d12ad82f362abfec41921db2b21c0a181b75b1ba,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cell_line_omics/CCLE_DNA_methylation_TSS1kb.txt,Source release unknown; directory deliberately marked unverified.
CCLE,CCLE,,,,,,Cell_lines_annotations_20181226.txt,data/raw/CCLE/legacy_unverified/Cell_lines_annotations_20181226.txt,335355,77648d1cada2f325ba2c049a5fb5408434f73b963c8e1148fb82ba2653e469e1,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cell_line_omics/Cell_lines_annotations_20181226.txt,Source release unknown; directory deliberately marked unverified.
CellModelPassports,CellModelPassports,20260921,https://cellmodelpassports.sanger.ac.uk/downloads,https://cog.sanger.ac.uk/cmp/download/model_list_20260921.csv,2026-09-23T01:51:39.450725+00:00,2026-09-23T01:51:41.622711+00:00,model_list_20260921.csv,data/raw/CellModelPassports/20260921/model_list_20260921.csv,957555,419f65d1d6534454194f1a744550fab632cd1d7411f6b13411a885735aa37006,,,,,,,,,,1.0,downloaded_verified_container,,Downloaded from recorded endpoint; response headers and container validation recorded.
Cellosaurus,Cellosaurus,56.0,https://www.cellosaurus.org/,,,,cellosaurus.txt,data/raw/Cellosaurus/56.0/cellosaurus.txt,122297334,b225da548b65e8db10597759bc152c78b1b9d23e123494744510d7569cf4ab3b,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/entity_mapping/cellosaurus.txt, Release label from local header/filename or source directory; see evidence records.
COSMIC_CMC,COSMIC_CMC,v104_GRCh37,,,,,cmc_export.tsv,data/raw/COSMIC_CMC/v104_GRCh37/cmc_export.tsv,1878773780,da513a850444cb38c79889acbdce7d69a1cff5a3a45cbc70356935f537741c08,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cancer_driver_mutations/cmc_export.tsv, Release label from local header/filename or source directory; see evidence records.
COSMIC_CMC,COSMIC_CMC,v104_GRCh37,,,,,README_CancerMutationCensus_AllData_v104_GRCh37.txt,data/raw/COSMIC_CMC/v104_GRCh37/README_CancerMutationCensus_AllData_v104_GRCh37.txt,5968,a3f998723405d52fa2b573eeb77cb14237f860149227e0ad7a1e09469ee7eeb1,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cancer_driver_mutations/README_CancerMutationCensus_AllData_v104_GRCh37.txt, Release label from local header/filename or source directory; see evidence records.
DepMap,DepMap,26Q1,https://depmap.org/portal/data_page/?tab=allData,,,,26Q1_Mutation_Pipeline_Documentation.pdf,data/raw/DepMap/26Q1/26Q1_Mutation_Pipeline_Documentation.pdf,218876,69f078de77321e41558e7a7b2a740717309e108408aac516c0b8af483e205cb1,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cell_line_omics/26Q1_Mutation_Pipeline_Documentation.pdf, Release label from local header/filename or source directory; see evidence records.
DepMap,DepMap,26Q1,https://depmap.org/portal/data_page/?tab=allData,https://storage.googleapis.com/depmap-external-downloads/downloads-by-canonical-id/public-26q1-5bbf.37/Model.csv,,,Model.csv,data/raw/DepMap/26Q1/Model.csv,697455,ea4e0b2a3bc806f81df62689a5ae75f1a100135727a3d7b8a4c7ccc8815183f8,,,,,,,,,,1.0,local_present_provenance_incomplete,data/raw/cell_line_omics/DepMap_Model_26Q1.csv,26Q1 source path recovered from Windows Zone.Identifier; signed query stripped; not evidence for other matrices.
DepMap,DepMap,26Q1,https://depmap.org/portal/data_page/?tab=allData,https://depmap.org/portal/download/all/ (Cloudflare Turnstile verified browser download; signed GCS URL not recorded),2026-09-23,,ModelCondition.csv,data/raw/DepMap/26Q1/ModelCondition.csv,223524,8060accf252366d165618d80808e4e903ce5142de22fbd400a785ed195c1eb60,,,,,,,,,,1.0,manual_download_provenance_incomplete,,Downloaded from recorded endpoint; response headers and container validation recorded.
DepMap,DepMap,26Q1,https://depmap.org/portal/data_page/?tab=allData,https://depmap.org/portal/download/all/ (Cloudflare Turnstile verified browser download; signed GCS URL not recorded),2026-09-23,,OmicsCNGeneWGS.csv,data/raw/DepMap/26Q1/OmicsCNGeneWGS.csv,409005582,d2fe65b516802fb2b355b953fcc43dcb908840f275e9166c0dbd7defadca8a1d,,,,,,,,,,1.0,manual_download_provenance_incomplete,,Downloaded from recorded endpoint; response headers and container validation recorded.
