sample_id,cell_id,compound_id,role
S001511,CL0009,CMP0001,train
S001513,CL0009,CMP0006,train
S001515,CL0009,CMP0008,train
S001517,CL0009,CMP0010,train
S001518,CL0009,CMP0011,train
S001521,CL0009,CMP0014,train
S001522,CL0009,CMP0015,train
S001523,CL0009,CMP0016,train
S001524,CL0009,CMP0017,train
S001525,CL0009,CMP0018,train
S001526,CL0009,CMP0019,train
S001527,CL0009,CMP0020,train
S001528,CL0009,CMP0021,train
S001530,CL0009,CMP0023,train
S001531,CL0009,CMP0024,train
S001532,CL0009,CMP0025,test
S001533,CL0009,CMP0026,train
S001534,CL0009,CMP0027,train
S001535,CL0009,CMP0028,train
S001536,CL0009,CMP0029,train
S001537,CL0009,CMP0030,train
S001538,CL0009,CMP0031,train
S001539,CL0009,CMP0032,train
S001540,CL0009,CMP0033,train
S001542,CL0009,CMP0035,train
S001543,CL0009,CMP0036,train
S001545,CL0009,CMP0038,train
S001546,CL0009,CMP0039,train
S001548,CL0009,CMP0041,train
S001549,CL0009,CMP0042,train
S001550,CL0009,CMP0043,train
S001551,CL0009,CMP0044,train
S001552,CL0009,CMP0045,test
S001553,CL0009,CMP0046,train
S001554,CL0009,CMP0048,train
S001555,CL0009,CMP0049,train
S001556,CL0009,CMP0050,train
S001557,CL0009,CMP0051,test
S001558,CL0009,CMP0052,train
S001559,CL0009,CMP0053,train
S001560,CL0009,CMP0054,train
S001561,CL0009,CMP0055,train
S001563,CL0009,CMP0057,train
S001564,CL0009,CMP0058,train
S001565,CL0009,CMP0059,train
S001566,CL0009,CMP0060,train
S001567,CL0009,CMP0061,train
S001568,CL0009,CMP0062,test
S001569,CL0009,CMP0063,train
S001570,CL0009,CMP0064,train
S001571,CL0009,CMP0065,train
S001572,CL0009,CMP0066,train
S001573,CL0009,CMP0067,train
S001574,CL0009,CMP0068,train
S001577,CL0009,CMP0072,train
S001579,CL0009,CMP0074,train
S001580,CL0009,CMP0075,train
S001581,CL0009,CMP0076,train
S001582,CL0009,CMP0077,train
S001583,CL0009,CMP0078,train
S001584,CL0009,CMP0079,train
S001585,CL0009,CMP0080,train
S001586,CL0009,CMP0081,train
S001587,CL0009,CMP0082,train
S001588,CL0009,CMP0083,train
S001589,CL0009,CMP0084,train
S001590,CL0009,CMP0085,train
S001591,CL0009,CMP0086,train
S001592,CL0009,CMP0087,test
S001593,CL0009,CMP0088,train
S001594,CL0009,CMP0089,train
S001595,CL0009,CMP0090,test
S001596,CL0009,CMP0091,train
S001597,CL0009,CMP0092,train
S001598,CL0009,CMP0094,train
S001600,CL0009,CMP0096,train
S001601,CL0009,CMP0097,train
S001602,CL0009,CMP0098,test
S001603,CL0009,CMP0099,train
S001604,CL0009,CMP0100,train
S001605,CL0009,CMP0101,train
S001606,CL0009,CMP0102,train
S001607,CL0009,CMP0103,train
S001608,CL0009,CMP0104,train
S001609,CL0009,CMP0105,train
S001610,CL0009,CMP0106,test
S001611,CL0009,CMP0107,test
S001612,CL0009,CMP0108,train
S001613,CL0009,CMP0109,train
S001615,CL0009,CMP0111,train
S001616,CL0009,CMP0112,train
S001617,CL0009,CMP0113,train
S001618,CL0009,CMP0114,train
S001619,CL0009,CMP0115,test
S001620,CL0009,CMP0116,train
S001623,CL0009,CMP0119,train
S001624,CL0009,CMP0120,train
S001625,CL0009,CMP0121,test
S001626,CL0009,CMP0122,train
S001627,CL0009,CMP0123,test
S001628,CL0009,CMP0124,train
S001629,CL0009,CMP0125,train
S001630,CL0009,CMP0126,test
S001631,CL0009,CMP0127,train
S001632,CL0009,CMP0128,test
S001634,CL0009,CMP0130,train
S001635,CL0009,CMP0131,train
S001636,CL0009,CMP0132,train
