sample_id,cell_id,compound_id,cell_group,oncotree_lineage,role
S001511,CL0009,CMP0001,CG_CL0009,Lung,test
S001512,CL0009,CMP0005,CG_CL0009,Lung,test
S001513,CL0009,CMP0006,CG_CL0009,Lung,test
S001514,CL0009,CMP0007,CG_CL0009,Lung,test
S001515,CL0009,CMP0008,CG_CL0009,Lung,test
S001516,CL0009,CMP0009,CG_CL0009,Lung,test
S001517,CL0009,CMP0010,CG_CL0009,Lung,test
S001520,CL0009,CMP0013,CG_CL0009,Lung,test
S001521,CL0009,CMP0014,CG_CL0009,Lung,test
S001522,CL0009,CMP0015,CG_CL0009,Lung,test
S001523,CL0009,CMP0016,CG_CL0009,Lung,test
S001524,CL0009,CMP0017,CG_CL0009,Lung,test
S001525,CL0009,CMP0018,CG_CL0009,Lung,test
S001526,CL0009,CMP0019,CG_CL0009,Lung,test
S001527,CL0009,CMP0020,CG_CL0009,Lung,test
S001528,CL0009,CMP0021,CG_CL0009,Lung,test
S001529,CL0009,CMP0022,CG_CL0009,Lung,test
S001530,CL0009,CMP0023,CG_CL0009,Lung,test
S001531,CL0009,CMP0024,CG_CL0009,Lung,test
S001534,CL0009,CMP0027,CG_CL0009,Lung,test
S001535,CL0009,CMP0028,CG_CL0009,Lung,test
S001536,CL0009,CMP0029,CG_CL0009,Lung,test
S001537,CL0009,CMP0030,CG_CL0009,Lung,test
S001538,CL0009,CMP0031,CG_CL0009,Lung,test
S001541,CL0009,CMP0034,CG_CL0009,Lung,test
S001542,CL0009,CMP0035,CG_CL0009,Lung,test
S001543,CL0009,CMP0036,CG_CL0009,Lung,test
S001544,CL0009,CMP0037,CG_CL0009,Lung,test
S001545,CL0009,CMP0038,CG_CL0009,Lung,test
S001546,CL0009,CMP0039,CG_CL0009,Lung,test
S001547,CL0009,CMP0040,CG_CL0009,Lung,test
S001548,CL0009,CMP0041,CG_CL0009,Lung,test
S001549,CL0009,CMP0042,CG_CL0009,Lung,test
S001550,CL0009,CMP0043,CG_CL0009,Lung,test
S001551,CL0009,CMP0044,CG_CL0009,Lung,test
S001552,CL0009,CMP0045,CG_CL0009,Lung,test
S001553,CL0009,CMP0046,CG_CL0009,Lung,test
S001554,CL0009,CMP0048,CG_CL0009,Lung,test
S001555,CL0009,CMP0049,CG_CL0009,Lung,test
S001556,CL0009,CMP0050,CG_CL0009,Lung,test
S001559,CL0009,CMP0053,CG_CL0009,Lung,test
S001560,CL0009,CMP0054,CG_CL0009,Lung,test
S001561,CL0009,CMP0055,CG_CL0009,Lung,test
S001562,CL0009,CMP0056,CG_CL0009,Lung,test
S001563,CL0009,CMP0057,CG_CL0009,Lung,test
S001564,CL0009,CMP0058,CG_CL0009,Lung,test
S001565,CL0009,CMP0059,CG_CL0009,Lung,test
S001566,CL0009,CMP0060,CG_CL0009,Lung,test
S001567,CL0009,CMP0061,CG_CL0009,Lung,test
S001568,CL0009,CMP0062,CG_CL0009,Lung,test
S001569,CL0009,CMP0063,CG_CL0009,Lung,test
S001570,CL0009,CMP0064,CG_CL0009,Lung,test
S001571,CL0009,CMP0065,CG_CL0009,Lung,test
S001573,CL0009,CMP0067,CG_CL0009,Lung,test
S001574,CL0009,CMP0068,CG_CL0009,Lung,test
S001575,CL0009,CMP0070,CG_CL0009,Lung,test
S001577,CL0009,CMP0072,CG_CL0009,Lung,test
S001578,CL0009,CMP0073,CG_CL0009,Lung,test
S001579,CL0009,CMP0074,CG_CL0009,Lung,test
S001580,CL0009,CMP0075,CG_CL0009,Lung,test
S001581,CL0009,CMP0076,CG_CL0009,Lung,test
S001582,CL0009,CMP0077,CG_CL0009,Lung,test
S001583,CL0009,CMP0078,CG_CL0009,Lung,test
S001584,CL0009,CMP0079,CG_CL0009,Lung,test
S001586,CL0009,CMP0081,CG_CL0009,Lung,test
S001587,CL0009,CMP0082,CG_CL0009,Lung,test
S001588,CL0009,CMP0083,CG_CL0009,Lung,test
S001589,CL0009,CMP0084,CG_CL0009,Lung,test
S001590,CL0009,CMP0085,CG_CL0009,Lung,test
S001591,CL0009,CMP0086,CG_CL0009,Lung,test
S001592,CL0009,CMP0087,CG_CL0009,Lung,test
S001594,CL0009,CMP0089,CG_CL0009,Lung,test
S001595,CL0009,CMP0090,CG_CL0009,Lung,test
S001596,CL0009,CMP0091,CG_CL0009,Lung,test
S001597,CL0009,CMP0092,CG_CL0009,Lung,test
S001598,CL0009,CMP0094,CG_CL0009,Lung,test
S001599,CL0009,CMP0095,CG_CL0009,Lung,test
S001600,CL0009,CMP0096,CG_CL0009,Lung,test
S001601,CL0009,CMP0097,CG_CL0009,Lung,test
S001602,CL0009,CMP0098,CG_CL0009,Lung,test
S001604,CL0009,CMP0100,CG_CL0009,Lung,test
S001605,CL0009,CMP0101,CG_CL0009,Lung,test
S001607,CL0009,CMP0103,CG_CL0009,Lung,test
S001608,CL0009,CMP0104,CG_CL0009,Lung,test
S001609,CL0009,CMP0105,CG_CL0009,Lung,test
S001610,CL0009,CMP0106,CG_CL0009,Lung,test
S001612,CL0009,CMP0108,CG_CL0009,Lung,test
S001613,CL0009,CMP0109,CG_CL0009,Lung,test
S001614,CL0009,CMP0110,CG_CL0009,Lung,test
S001616,CL0009,CMP0112,CG_CL0009,Lung,test
S001617,CL0009,CMP0113,CG_CL0009,Lung,test
S001618,CL0009,CMP0114,CG_CL0009,Lung,test
S001619,CL0009,CMP0115,CG_CL0009,Lung,test
S001620,CL0009,CMP0116,CG_CL0009,Lung,test
S001621,CL0009,CMP0117,CG_CL0009,Lung,test
S001622,CL0009,CMP0118,CG_CL0009,Lung,test
S001623,CL0009,CMP0119,CG_CL0009,Lung,test
S001625,CL0009,CMP0121,CG_CL0009,Lung,test
S001626,CL0009,CMP0122,CG_CL0009,Lung,test
S001627,CL0009,CMP0123,CG_CL0009,Lung,test
S001628,CL0009,CMP0124,CG_CL0009,Lung,test
S001629,CL0009,CMP0125,CG_CL0009,Lung,test
S001630,CL0009,CMP0126,CG_CL0009,Lung,test
S001631,CL0009,CMP0127,CG_CL0009,Lung,test
S001632,CL0009,CMP0128,CG_CL0009,Lung,test
S001633,CL0009,CMP0129,CG_CL0009,Lung,test
S001634,CL0009,CMP0130,CG_CL0009,Lung,test
S001635,CL0009,CMP0131,CG_CL0009,Lung,test
S001637,CL0009,CMP0133,CG_CL0009,Lung,test
S001638,CL0009,CMP0134,CG_CL0009,Lung,test
S001639,CL0009,CMP0135,CG_CL0009,Lung,test
S001641,CL0009,CMP0137,CG_CL0009,Lung,test
S001642,CL0009,CMP0138,CG_CL0009,Lung,test
S001643,CL0009,CMP0139,CG_CL0009,Lung,test
S001645,CL0009,CMP0141,CG_CL0009,Lung,test
S001646,CL0009,CMP0142,CG_CL0009,Lung,test
S001647,CL0009,CMP0143,CG_CL0009,Lung,test
S001648,CL0009,CMP0144,CG_CL0009,Lung,test
S001649,CL0009,CMP0145,CG_CL0009,Lung,test
S001650,CL0009,CMP0146,CG_CL0009,Lung,test
S001654,CL0009,CMP0150,CG_CL0009,Lung,test
S001655,CL0009,CMP0151,CG_CL0009,Lung,test
S001657,CL0009,CMP0153,CG_CL0009,Lung,test
S001658,CL0009,CMP0154,CG_CL0009,Lung,test
S001659,CL0009,CMP0155,CG_CL0009,Lung,test
S001660,CL0009,CMP0156,CG_CL0009,Lung,test
S001661,CL0009,CMP0157,CG_CL0009,Lung,test
S001662,CL0009,CMP0158,CG_CL0009,Lung,test
S001663,CL0009,CMP0159,CG_CL0009,Lung,test
S001664,CL0009,CMP0160,CG_CL0009,Lung,test
S001665,CL0009,CMP0161,CG_CL0009,Lung,test
S001666,CL0009,CMP0162,CG_CL0009,Lung,test
S001667,CL0009,CMP0163,CG_CL0009,Lung,test
S001669,CL0009,CMP0165,CG_CL0009,Lung,test
S001670,CL0009,CMP0166,CG_CL0009,Lung,test
S001671,CL0009,CMP0167,CG_CL0009,Lung,test
S001672,CL0009,CMP0168,CG_CL0009,Lung,test
S001673,CL0009,CMP0169,CG_CL0009,Lung,test
S001674,CL0009,CMP0170,CG_CL0009,Lung,test
S001675,CL0009,CMP0171,CG_CL0009,Lung,test
S001676,CL0009,CMP0172,CG_CL0009,Lung,test
S001677,CL0009,CMP0173,CG_CL0009,Lung,test
S001679,CL0009,CMP0175,CG_CL0009,Lung,test
S001680,CL0009,CMP0176,CG_CL0009,Lung,test
S001681,CL0009,CMP0177,CG_CL0009,Lung,test
S001682,CL0009,CMP0178,CG_CL0009,Lung,test
S001683,CL0009,CMP0179,CG_CL0009,Lung,test
S001684,CL0009,CMP0180,CG_CL0009,Lung,test
S001685,CL0009,CMP0181,CG_CL0009,Lung,test
S001686,CL0009,CMP0182,CG_CL0009,Lung,test
S001687,CL0009,CMP0183,CG_CL0009,Lung,test
S001689,CL0009,CMP0185,CG_CL0009,Lung,test
S001690,CL0009,CMP0186,CG_CL0009,Lung,test
S001691,CL0009,CMP0187,CG_CL0009,Lung,test
S001692,CL0009,CMP0188,CG_CL0009,Lung,test
S001693,CL0009,CMP0189,CG_CL0009,Lung,test
S001694,CL0009,CMP0190,CG_CL0009,Lung,test
S001695,CL0009,CMP0191,CG_CL0009,Lung,test
S001696,CL0009,CMP0192,CG_CL0009,Lung,test
S001697,CL0009,CMP0193,CG_CL0009,Lung,test
S001698,CL0009,CMP0194,CG_CL0009,Lung,test
S001699,CL0009,CMP0195,CG_CL0009,Lung,test
S001700,CL0009,CMP0196,CG_CL0009,Lung,test
S001701,CL0009,CMP0197,CG_CL0009,Lung,test
S001703,CL0009,CMP0200,CG_CL0009,Lung,test
S001704,CL0009,CMP0201,CG_CL0009,Lung,test
S001705,CL0009,CMP0203,CG_CL0009,Lung,test
S001706,CL0009,CMP0208,CG_CL0009,Lung,test
S001707,CL0009,CMP0209,CG_CL0009,Lung,test
S001708,CL0009,CMP0210,CG_CL0009,Lung,test
S001709,CL0009,CMP0211,CG_CL0009,Lung,test
