sample_id,cell_id,compound_id,subtype,oncotree_lineage,role
S001511,CL0009,CMP0001,Lung Adenocarcinoma,Lung,train
S001512,CL0009,CMP0005,Lung Adenocarcinoma,Lung,train
S001513,CL0009,CMP0006,Lung Adenocarcinoma,Lung,train
S001514,CL0009,CMP0007,Lung Adenocarcinoma,Lung,train
S001515,CL0009,CMP0008,Lung Adenocarcinoma,Lung,train
S001516,CL0009,CMP0009,Lung Adenocarcinoma,Lung,train
S001517,CL0009,CMP0010,Lung Adenocarcinoma,Lung,train
S001520,CL0009,CMP0013,Lung Adenocarcinoma,Lung,train
S001521,CL0009,CMP0014,Lung Adenocarcinoma,Lung,train
S001522,CL0009,CMP0015,Lung Adenocarcinoma,Lung,train
S001523,CL0009,CMP0016,Lung Adenocarcinoma,Lung,train
S001524,CL0009,CMP0017,Lung Adenocarcinoma,Lung,train
S001525,CL0009,CMP0018,Lung Adenocarcinoma,Lung,train
S001526,CL0009,CMP0019,Lung Adenocarcinoma,Lung,train
S001527,CL0009,CMP0020,Lung Adenocarcinoma,Lung,train
S001528,CL0009,CMP0021,Lung Adenocarcinoma,Lung,train
S001529,CL0009,CMP0022,Lung Adenocarcinoma,Lung,train
S001530,CL0009,CMP0023,Lung Adenocarcinoma,Lung,train
S001531,CL0009,CMP0024,Lung Adenocarcinoma,Lung,train
S001534,CL0009,CMP0027,Lung Adenocarcinoma,Lung,train
S001535,CL0009,CMP0028,Lung Adenocarcinoma,Lung,train
S001536,CL0009,CMP0029,Lung Adenocarcinoma,Lung,train
S001537,CL0009,CMP0030,Lung Adenocarcinoma,Lung,train
S001538,CL0009,CMP0031,Lung Adenocarcinoma,Lung,train
S001541,CL0009,CMP0034,Lung Adenocarcinoma,Lung,train
S001542,CL0009,CMP0035,Lung Adenocarcinoma,Lung,train
S001543,CL0009,CMP0036,Lung Adenocarcinoma,Lung,train
S001544,CL0009,CMP0037,Lung Adenocarcinoma,Lung,train
S001545,CL0009,CMP0038,Lung Adenocarcinoma,Lung,train
S001546,CL0009,CMP0039,Lung Adenocarcinoma,Lung,train
S001547,CL0009,CMP0040,Lung Adenocarcinoma,Lung,train
S001548,CL0009,CMP0041,Lung Adenocarcinoma,Lung,train
S001549,CL0009,CMP0042,Lung Adenocarcinoma,Lung,train
S001550,CL0009,CMP0043,Lung Adenocarcinoma,Lung,train
S001551,CL0009,CMP0044,Lung Adenocarcinoma,Lung,train
S001552,CL0009,CMP0045,Lung Adenocarcinoma,Lung,train
S001553,CL0009,CMP0046,Lung Adenocarcinoma,Lung,train
S001554,CL0009,CMP0048,Lung Adenocarcinoma,Lung,train
S001555,CL0009,CMP0049,Lung Adenocarcinoma,Lung,train
S001556,CL0009,CMP0050,Lung Adenocarcinoma,Lung,train
S001559,CL0009,CMP0053,Lung Adenocarcinoma,Lung,train
S001560,CL0009,CMP0054,Lung Adenocarcinoma,Lung,train
S001561,CL0009,CMP0055,Lung Adenocarcinoma,Lung,train
S001562,CL0009,CMP0056,Lung Adenocarcinoma,Lung,train
S001563,CL0009,CMP0057,Lung Adenocarcinoma,Lung,train
S001564,CL0009,CMP0058,Lung Adenocarcinoma,Lung,train
S001565,CL0009,CMP0059,Lung Adenocarcinoma,Lung,train
S001566,CL0009,CMP0060,Lung Adenocarcinoma,Lung,train
S001567,CL0009,CMP0061,Lung Adenocarcinoma,Lung,train
S001568,CL0009,CMP0062,Lung Adenocarcinoma,Lung,train
S001569,CL0009,CMP0063,Lung Adenocarcinoma,Lung,train
S001570,CL0009,CMP0064,Lung Adenocarcinoma,Lung,train
S001571,CL0009,CMP0065,Lung Adenocarcinoma,Lung,train
S001573,CL0009,CMP0067,Lung Adenocarcinoma,Lung,train
S001574,CL0009,CMP0068,Lung Adenocarcinoma,Lung,train
S001575,CL0009,CMP0070,Lung Adenocarcinoma,Lung,train
S001577,CL0009,CMP0072,Lung Adenocarcinoma,Lung,train
S001578,CL0009,CMP0073,Lung Adenocarcinoma,Lung,train
S001579,CL0009,CMP0074,Lung Adenocarcinoma,Lung,train
S001580,CL0009,CMP0075,Lung Adenocarcinoma,Lung,train
S001581,CL0009,CMP0076,Lung Adenocarcinoma,Lung,train
S001582,CL0009,CMP0077,Lung Adenocarcinoma,Lung,train
S001583,CL0009,CMP0078,Lung Adenocarcinoma,Lung,train
S001584,CL0009,CMP0079,Lung Adenocarcinoma,Lung,train
S001586,CL0009,CMP0081,Lung Adenocarcinoma,Lung,train
S001587,CL0009,CMP0082,Lung Adenocarcinoma,Lung,train
S001588,CL0009,CMP0083,Lung Adenocarcinoma,Lung,train
S001589,CL0009,CMP0084,Lung Adenocarcinoma,Lung,train
S001590,CL0009,CMP0085,Lung Adenocarcinoma,Lung,train
S001591,CL0009,CMP0086,Lung Adenocarcinoma,Lung,train
S001592,CL0009,CMP0087,Lung Adenocarcinoma,Lung,train
S001594,CL0009,CMP0089,Lung Adenocarcinoma,Lung,train
S001595,CL0009,CMP0090,Lung Adenocarcinoma,Lung,train
S001596,CL0009,CMP0091,Lung Adenocarcinoma,Lung,train
S001597,CL0009,CMP0092,Lung Adenocarcinoma,Lung,train
S001598,CL0009,CMP0094,Lung Adenocarcinoma,Lung,train
S001599,CL0009,CMP0095,Lung Adenocarcinoma,Lung,train
S001600,CL0009,CMP0096,Lung Adenocarcinoma,Lung,train
S001601,CL0009,CMP0097,Lung Adenocarcinoma,Lung,train
S001602,CL0009,CMP0098,Lung Adenocarcinoma,Lung,train
S001604,CL0009,CMP0100,Lung Adenocarcinoma,Lung,train
S001605,CL0009,CMP0101,Lung Adenocarcinoma,Lung,train
S001607,CL0009,CMP0103,Lung Adenocarcinoma,Lung,train
S001608,CL0009,CMP0104,Lung Adenocarcinoma,Lung,train
S001609,CL0009,CMP0105,Lung Adenocarcinoma,Lung,train
S001610,CL0009,CMP0106,Lung Adenocarcinoma,Lung,train
S001612,CL0009,CMP0108,Lung Adenocarcinoma,Lung,train
S001613,CL0009,CMP0109,Lung Adenocarcinoma,Lung,train
S001614,CL0009,CMP0110,Lung Adenocarcinoma,Lung,train
S001616,CL0009,CMP0112,Lung Adenocarcinoma,Lung,train
S001617,CL0009,CMP0113,Lung Adenocarcinoma,Lung,train
S001618,CL0009,CMP0114,Lung Adenocarcinoma,Lung,train
S001619,CL0009,CMP0115,Lung Adenocarcinoma,Lung,train
S001620,CL0009,CMP0116,Lung Adenocarcinoma,Lung,train
S001621,CL0009,CMP0117,Lung Adenocarcinoma,Lung,train
S001622,CL0009,CMP0118,Lung Adenocarcinoma,Lung,train
S001623,CL0009,CMP0119,Lung Adenocarcinoma,Lung,train
S001625,CL0009,CMP0121,Lung Adenocarcinoma,Lung,train
S001626,CL0009,CMP0122,Lung Adenocarcinoma,Lung,train
S001627,CL0009,CMP0123,Lung Adenocarcinoma,Lung,train
S001628,CL0009,CMP0124,Lung Adenocarcinoma,Lung,train
S001629,CL0009,CMP0125,Lung Adenocarcinoma,Lung,train
S001630,CL0009,CMP0126,Lung Adenocarcinoma,Lung,train
S001631,CL0009,CMP0127,Lung Adenocarcinoma,Lung,train
S001632,CL0009,CMP0128,Lung Adenocarcinoma,Lung,train
S001633,CL0009,CMP0129,Lung Adenocarcinoma,Lung,train
S001634,CL0009,CMP0130,Lung Adenocarcinoma,Lung,train
S001635,CL0009,CMP0131,Lung Adenocarcinoma,Lung,train
S001637,CL0009,CMP0133,Lung Adenocarcinoma,Lung,train
S001638,CL0009,CMP0134,Lung Adenocarcinoma,Lung,train
S001639,CL0009,CMP0135,Lung Adenocarcinoma,Lung,train
S001641,CL0009,CMP0137,Lung Adenocarcinoma,Lung,train
S001642,CL0009,CMP0138,Lung Adenocarcinoma,Lung,train
S001643,CL0009,CMP0139,Lung Adenocarcinoma,Lung,train
S001645,CL0009,CMP0141,Lung Adenocarcinoma,Lung,train
S001646,CL0009,CMP0142,Lung Adenocarcinoma,Lung,train
S001647,CL0009,CMP0143,Lung Adenocarcinoma,Lung,train
S001648,CL0009,CMP0144,Lung Adenocarcinoma,Lung,train
S001649,CL0009,CMP0145,Lung Adenocarcinoma,Lung,train
